,post_id,source,date,text,image,url
95,919967415116358,Prefeitura de Icém,"[datetime.datetime(2020, 5, 2, 18, 17, 9)]",Boletim Informativo atualizado🏥 CORONAVÍRUS (Icém) 02/05/2020,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/95636467_919967281783038_7343471469940178944_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=KLzMQ3JttcUAX-PHT57&_nc_ht=scontent.fcgh7-1.fna&oh=07a5421d7be0122099e70b49243084f1&oe=5F22D0F8,/story.php?story_fbid=919967415116358&id=234499770329796
96,918593851920381,Prefeitura de Icém,"[datetime.datetime(2020, 4, 30, 18, 38, 45)]",Boletim Informativo atualizado🏥 CORONAVÍRUS (Icém) 30/04/2020,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/95515946_918593745253725_2076431789273907200_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=6qaGrtkZzyQAX-0BbcB&_nc_ht=scontent.fcgh7-1.fna&oh=4f529a97b87273eecd9f99c0d93684e5&oe=5F1FBC18,/story.php?story_fbid=918593851920381&id=234499770329796
98,917796282000138,Prefeitura de Icém,"[datetime.datetime(2020, 4, 29, 17, 35, 9)]",Boletim Informativo atualizado🏥 CORONAVÍRUS  (Icém) 29/04/2020,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/95654399_917796185333481_3084008783085568000_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_oc=AQkc0cZuOw3Ge48JzfifeUd28rcIhSHO5vMvblGNFExE5bN6UGoOgMqd_k9t6EW3P68&_nc_ht=scontent.fcgh7-1.fna&oh=5b998d30d38a7827a2e6af29f880136e&oe=5F22E142,/story.php?story_fbid=917796282000138&id=234499770329796
100,917122198734213,Prefeitura de Icém,"[datetime.datetime(2020, 4, 28, 18, 53, 39)]",Boletim Informativo atualizado 🚑 CORONAVÍRUS (Icém) 28/04/2020,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/95160012_917122072067559_2095005143417225216_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=1HudrNXJqjUAX9I9xQg&_nc_ht=scontent.fcgh7-1.fna&oh=4ffaa8f99014a065346a9b13bc65edcc&oe=5F218D24,/story.php?story_fbid=917122198734213&id=234499770329796
101,916383368808096,"Prefeitura de Icém,Lima na Lata","[datetime.datetime(2020, 4, 27, 17, 36, 47)]",Boletim Informativo atualizado🏥 CORONAVÍRUS  (Icém) 27/04/2020GOVERNADOR JOÃO DÓRIA - ADVOGADO REQUER ALTERAÇÃO DE DECRETOS QUE ESTÃO DESTRUINDO A ECONOMIA DE SP,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/95014482_916383285474771_3555886342997016576_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_oc=AQmZjdiK0eP8RuMo6Ko7IerTq3C8T4PRaV4F9wI22ue7bFLfCASICzdcWR9EeemyyNE&_nc_ht=scontent.fcgh7-1.fna&oh=413c6f389a58970c49351cad1ab2bb44&oe=5F22D246,/story.php?story_fbid=916383368808096&id=234499770329796
108,896425497470550,Prefeitura de Icém,"[datetime.datetime(2020, 3, 31, 17, 2, 55)]",Boletim Informativo🏥 CORONAVÍRUS  (Icêm) 31/03/2020,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/91779973_896425470803886_2414120285797089280_o.jpg?_nc_cat=106&_nc_sid=110474&_nc_oc=AQlyMMsrsPKIIBF1G7O9CG8etb6_x4evF_uaEISErTxAmSRIQoqwJqD7iZjkmF4HphQ&_nc_ht=scontent.fcgh7-1.fna&oh=6471d08b5636bdea68dc5a7bf16e22e4&oe=5F219F63,/story.php?story_fbid=896425497470550&id=234499770329796
112,893512011095232,Prefeitura de Icém,"[datetime.datetime(2020, 3, 27, 18, 2, 10)]",Boletim Informativo Coronavírus em Icém   27/03/2020 🏥Informado pela Divisão Municipal de Saúde,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/91378882_893511974428569_3028233126598934528_o.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=LAH7lV2F2GkAX_kz5lu&_nc_ht=scontent.fcgh7-1.fna&oh=b3426f0ddb54262c8529cff2798419ea&oe=5F210586,/story.php?story_fbid=893512011095232&id=234499770329796
116,892766317836468,Prefeitura de Icém,"[datetime.datetime(2020, 3, 26, 17, 44, 7)]",Boletim Informativo🏥 CORONAVÍRUS  (Icêm) 26/03/2020,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/91265482_892766297836470_3833239993644482560_o.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=EB-Od9_sRWMAX-OKiAq&_nc_ht=scontent.fcgh7-1.fna&oh=b20f4ef1d55619d4d3131cc37324f523&oe=5F1FC0A2,/story.php?story_fbid=892766317836468&id=234499770329796
119,891988834580883,Prefeitura de Icém,"[datetime.datetime(2020, 3, 25, 17, 41, 29)]",Boletim Informativo🏥 CORONAVÍRUS  (Icêm) 25/03/2020,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/90821675_891988811247552_1400737956490117120_o.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=v0IGHC9cdkAAX-FO8qw&_nc_ht=scontent.fcgh7-1.fna&oh=387d6ed92ae71fe9ed4b27c0d417a939&oe=5F211C9A,/story.php?story_fbid=891988834580883&id=234499770329796
121,891246181321815,Prefeitura de Icém,"[datetime.datetime(2020, 3, 24, 18, 36, 57)]",Boletim Informativo🏥 CORONAVÍRUS  (Icêm) 24/03/2020,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/90718259_891246154655151_8683701072465756160_o.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=G3QSZ3gTo8QAX_PrXd5&_nc_ht=scontent.fcgh7-1.fna&oh=d48ddaa38c29a22f5973759657cb3d02&oe=5F21C6DE,/story.php?story_fbid=891246181321815&id=234499770329796
127,889596544820112,Prefeitura de Icém,"[datetime.datetime(2020, 3, 22, 17, 5, 21)]","📢✅ Boletim Informativo de domingo, 23 de março registrando nenhum caso de #Coronavírus (Covid-19) em Icém📑 👉Atenção:  A Divisão Municipal de Saúde solicita à população que utilize os serviços de saúde apenas em caso de extrema necessidade.  O uso consciente dos serviços facilita o atendimento para quem precisa de verdade e ajuda os profissionais de saúde que estão trabalhando por nós. 🏥👩‍⚕️👨‍⚕️ ➡️Com serenidade, consciência e coletividade vamos juntos acabar com o #Coronavírus! #populaçãofiqueemcasa🏘 #prevenção #higiene  👵🧓👧👦🤱🤰🙋‍♂️💁‍♂️💁‍♀️🧘‍♂️🧘‍♀️👨‍👩‍👧‍👦👨‍👩‍👧‍👧👨‍👩‍👦‍👦👨‍👦👨‍👦‍👦👨‍👧👨‍👧‍👦👩‍👧‍👧👩‍👧‍👦👩‍👧👩‍👦‍👦👩‍👦👨‍👧‍👧👨‍👩‍👧👪 #NósInformamosVocê #Compartilhe #EssaLutaÉdeTodos",https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/90511038_889596514820115_4631195890189598720_o.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=UfN7Zeq-GB0AX9hI3l7&_nc_ht=scontent.fcgh7-1.fna&oh=0c2c74624f58590e34271bd97572f0da&oe=5F225897,/story.php?story_fbid=889596544820112&id=234499770329796
129,888791801567253,Prefeitura de Icém,"[datetime.datetime(2020, 3, 21, 15, 34, 46)]",COMPARTILHANDO – Boletim informativo diário sobre o coronavírus em Icêm. Pedimos por gentileza que evitem sair de suas residências !😁,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/90513945_888791771567256_153463201575469056_o.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=MeYXqZMi-1IAX_DXvKW&_nc_ht=scontent.fcgh7-1.fna&oh=c8de9db56c33ff0716ccfce15df48c86&oe=5F210CFA,/story.php?story_fbid=888791801567253&id=234499770329796
